ID,Name,Location
785,Zinc sulfate heptahydrate,Chemical drawer 663
784,Zinc chloride,Chemical cabinet 663
783,Zinc Acetate dihydrate,Chemical cabinet 663
782,Yeast nitrogen base without amino acids,Chemical cabinet 663
781,Yeast extract bacto,Chemical cabinet 663 and Annies' bench 607
780,Xylose,Chemical cabinet 663
779,Xylene Cyanole F.F.,Chemical drawer 663
778,Xylan,Chemical drawer 663
777,X-gal powder,Fridge 663
776,Xanthine,Chemical drawer 663
775,Wilkins Chalgren Anaerobic agar,Chemical cabinet 663
774,Vitamin K1,Fridge 663
773,Vitamin B12,Frdige 663
772,Vancomycin hydrochloride,Fridge 663
771,Vancomycin,Fridge 663
770,Valine,Chemical drawer and fume hood 663
769,Vaccenic acid,Side -20 663
768,Uridine,Chemical drawer 663
767,Urea,chemical cabinet 663
766,Uracil,Chemical drawer 663
765,Tyrosine,Chemical drawer Fume hood and Large chemical cabinet 663
764,Tween 80,Chemical cabinet 663
763,Tween 20,Chemical cabinet 663 and Nakil's bench 607
762,Tryptose blood agar base,Chemical cabinet 663
761,Tryptophan,Chemical drawer and fume hood 663
760,Tryptone bacto,Chemical cabinet 663
759,Trypticase peptone,Chemical cabinet 663
758,Tryptic soy broth,Annie's bench 607
757,Trypsin,Back -20 663
756,Triton-X-100,Chemical cabinet 663
755,Tris MW=121,Chemical cabinet 663
754,Tris hydrochloride,Chemical cabinet 663
753,Tris base ultrapure,Large chemical cabinet 663
752,Tricine buffer,Fridge 607
751,Tricine,Chemical cabinet 663
750,Trehalose dihydrate,Chemical drawer 663
749,Trehalos 6-phosphate dipotassium salt,Side -20 663
748,Thymidine,Chemical drawer Fridge and Back -20 663
747,Threonine,Chemical drawer 663
746,Thiamphenicol,Chemical drawer 663
745,Thiamine pyrophosphate,Side -20 663
744,Thiamine hydrochloride hydrate,Fume hood 663
743,Thiamine hydrochloride,Chemical cabinet 663
742,Thermolysin,Side -20 663
741,Tetracycline hydrochloride,Chemical drawer and back -20 663
740,Tetrachloroisophthalonitrile,Jeff 607
739,Tetraacetic acid,Chemical cabinet 663
738,Tertradecanoic acid,Jenny's bench 663
737,Terrific broth,Chemical cabinet 663
736,TC Lactalbumin hydrolysate,Armando's bench 663
735,Taurocholic acid sodium salt hydrate,Chemical cabinet 663
734,Taurine,Chemical cabinet 663
733,Sulfanilamide,Chemical cabinet 663
732,Sucrose,Chemical cabinet 663
731,Sucralose,Chemical cabinet 663
730,Succinic acid,Chemical cabinet 663
729,Streptomycin sulfate salt,Fridge 663
728,Steric acid,Jenny's bench 663
727,Starch,Chemcial cabinet and fume hood 663
726,Staphlococcus agar No.110,Large chemical cabinet 663
725,Spectinomycin dihydrochloride pentahydrate,Fridge 663
640,Special peptone,Chemical cabinet 663
724,Sorbitol,Chemical cabinet 663
723,Solution C6,Jenny's bench 663
722,Solution C5,Jenny's bench 663
721,Solution C4,Jenny's bench 663
720,Solution C2,Jenny's bench 663
719,Solution C1,Jenny's bench 663
