ID,Name,Cat ,Web
2,1-Naphthyl ethylenediamine dihydrochloride,222488-10G,sigmaaldrich.com
3,Acesulfame potassium,A2815,spectrumchemical.com
4,Acetone,1.00014.2500,emdmillipore.com
5,Acetylneuraminic acid hydrate,A0639,tcichemicals.com
6,Acid-hydrolyzed casein (certain vitamins reduced or eliminated),228820,bdbiosciences.com
7,Activated charcoal,1615511KG,sigmaaldrich.com
8,Adenine Sulfate,163630250,fishersci.com
9,Agar bacteria grade,443572500,fishersci.com
10,Agar noble,214220,bdbiosciences.com
11,Agarose low melt,BP160-500,fishersci.com
12,Agarose RA,N605-500G,fishersci.com
13,Alanine,A7077-25G,sigmaaldrich.com
14,Alanine,102835000,fishersci.com
15,Albumin from chicken egg white,A550-1G,sigmaaldrich.com
16,Amberlite IRA-67,42253,alfa.com
17,Aminobenzoic Acid,A12673,alfa.com
18,Aminocaprylic acid,203220050,fishersci.com
19,Amino-gamma-butrolacetone HCL,119063,sigmgaaldrich.com
20,Aminophenylmercuric acetate,A9563-5G,sigmaaldrich.com
21,Ammonium 15N2 sulfate,299286-10G,sigmaaldrich.com
22,Ammonium carbonate,A9516-500G,sigmaaldrich.com
23,Ammonium chloride,0660-01,avantornic.com
24,Ammonium citrate dibasic,24751-100G,sigmaaldrich.com
25,Ammonium citrate tribasic,A16973,alfa.com
26,Ammonium Persulfate,A3678-25G,sigmaaldrich.com
27,Ammonium sulfate,A4418-100G,sigmaaldrich.com
28,Ampicillin,BP1760-25,fishersci.com
29,Ampicillin sodium salt,A0166-5G,sigmaaldrich.com
30,Ampramycin sulfate salt,A2024-5G,sigmaaldrich.com
31,Arabinogalactan 1kg,W325406-1K,sigmaaldrich.com
32,Arabinose,A3256-25G,sigmaaldrich.com
33,Arginine,104991000,fishersci.com
34,Arginine hydroxamate HCl,A7380-100MG,sigmaaldrich.com
35,Ascorbic Acid,36237,alfa.com
36,Asolectin from soybean,11145-50G,sigmaaldrich.com
37,Asparagine,A0334-25G,sigmaaldrich.com
38,Asparagine,A4159-25G,sigmaaldrich.com
39,Aspartame,A1377,spectrumchemical.com
40,Aspartic acid,105041000,fishersci.com
41,Axtreonam,A6848-50MG,sigmaaldrich.com
42,AZIDE BLOOD AGAR BASE ,CM0259,thermofisher.com
43,Bacto agar,72717280,bdbiosciences.com
44,Beef exract powder,212303,bdbiosciences.com
45,Betaine,204241000,fishersci.com
46,Bicine,A14957,alfa.com
47,Bile bovine,B3883-500G,sigmaaldrich.com
48,Bile bovine and ovine,B8381-100G,sigmaaldrich.com
49,Bile extract porcine,B8631-100G,sigmaaldrich.com
50,Biotin,B4501-1G,sigmaaldrich.com
51,Bis tris,B4429-100G,sigmaaldrich.com
52,Boric acid,0084-01,avantornic.com
53,Brain heart infusion broth,211059,bdbiosciences.com
54,Brilliant Blue (Coomasie),B-0770,sigmaaldrich.com
55,Bromocresol Purple,A19350,alfa.com
56,Bromophenol Blue Sodium Salt,15022,mpbio.com
57,Bromothymol blue,B0687,tcichemicals.com
58,Bromouracil,852473-5G,sigmaaldrich.com
59,Brucella broth,211088,bdbiosciences.com
60,BRUCELLA MEDIUM BASE 500G,CM0169,thermofisher.com
61,Butyldimethylsilyl-N-methyltrifluoroacetamide,19918,sigmaaldrich.com
62,Calcein,C0815-5G,sigmaaldrich.com
63,Calcium chloride dihydrate,BP510-500,fishersci.com
64,Calcium nitrate ,7270780,bdbiosciences.com
65,Calcium nitrate tetrahydrate,423535000,fishersci.com
66,Carbenicillin disodium salt,C0283-25G,sigmaaldrich.com
67,Carbonate-bicarbonare buffer,C3041-50CAP,sigmaaldrich.com
68,Casamino acids ,J851-500G,us.vwr.com
69,Casein from bovine milk,C7070-500G,sigmaaldrich.com
70,Casitone bacto,225930,bdbiosciences.com
71,Catalase from bovine liver,C1345-1G,sigmaaldrich.com
72,Cefaclor,C6895-100MG,sigmaaldrich.com
