ID,,Name,Location,Cat #,Web
100,N-,(1-Naphthyl) ethylenediamine dihydrochloride,Chemical drawer 663,222488-10G,sigmaaldrich.com
101,,Acesulfame potassium,Chemical drawer 663,A2815,spectrumchemical.com
102,,Acetone,607T Fume hood,1.00014.2500,emdmillipore.com
103,,Acetylneuraminic acid hydrate,Back -20 663,A0639,tcichemicals.com
104,,Acid-hydrolyzed casein (certain vitamins reduced or eliminated),Chemical cabinet 663,228820,bdbiosciences.com
105,,Activated charcoal,Large chemical cabinet 663,1615511KG,sigmaaldrich.com
106,,Adenine Sulfate,Chemical drawer 663,163630250,fishersci.com
107,,Agar bacteria grade,Chemcial cabinet 663,443572500,fishersci.com
108,,Agar noble,Chemical cabinet 663,214220,bdbiosciences.com
109,,Agarose low melt,Chemical cabinet and drawer 663,BP160-500,fishersci.com
110,,Agarose RA,Chemical cabinet 663 ,N605-500G,fishersci.com
111,D-,Alanine,Chemical drawer 663,A7077-25G,sigmaaldrich.com
112,L-,Alanine,Chemical cabinet and drawer and fume hood 663,102835000,fishersci.com
113,,Albumin from chicken egg white,Fridge 663,A550-1G,sigmaaldrich.com
114,,Amberlite IRA-67,Chemical cabinet 663,42253,alfa.com
115,4-,Aminobenzoic Acid,Chemical drawer Fume hood and fridge 663,A12673,alfa.com
116,DL-α-,Aminocaprylic acid,Chemical drawer 663,203220050,fishersci.com
117,(S)-(-)-a,Amino-gamma-butrolacetone HCL,Chemical drawer 663,119063,sigmgaaldrich.com
118,4-,Aminophenylmercuric acetate,Chemical drawer 663,A9563-5G,sigmaaldrich.com
119,,Ammonium 15N2 sulfate,Chemical drawer 663,299286-10G,sigmaaldrich.com
120,,Ammonium carbonate,Chemical cabinet 663,A9516-500G,sigmaaldrich.com
121,,Ammonium chloride,Chemical cabinet 663,0660-01,avantornic.com
122,,Ammonium citrate dibasic,Chemical drawer 663,24751-100G,sigmaaldrich.com
123,,Ammonium citrate tribasic,Chemical drawer 663,A16973,alfa.com
124,,Ammonium Persulfate,Chemical drawer 663,A3678-25G,sigmaaldrich.com
125,,Ammonium sulfate,Chemical cabinet and fume hood 663,A4418-100G,sigmaaldrich.com
126,,Ampicillin,Fridge 663,BP1760-25,fishersci.com
127,,Ampicillin sodium salt,Fridge 663,A0166-5G,sigmaaldrich.com
128,,Ampramycin sulfate salt,Fridge 663,A2024-5G,sigmaaldrich.com
129,(+),Arabinogalactan 1kg,Large chemical cabinet and fume hood 663,W325406-1K,sigmaaldrich.com
130,L-(+),Arabinose,Chemical drawer 663,A3256-25G,sigmaaldrich.com
131,L-,Arginine,Chemical drawer and fume hood 663,104991000,fishersci.com
132,L-,Arginine hydroxamate HCl,Side -20 663E,A7380-100MG,sigmaaldrich.com
133,L-,Ascorbic Acid,Chemical drawer 663,36237,alfa.com
134,,Asolectin from soybean,Fidge 663,11145-50G,sigmaaldrich.com
135,D-,Asparagine,Chemical drawer 663,A0334-25G,sigmaaldrich.com
136,L-,Asparagine,Chemical drawer and fume hood 663,A4159-25G,sigmaaldrich.com
137,,Aspartame,Chemical cabinet 663,A1377,spectrumchemical.com
138,L-,Aspartic acid,Chemical drawer and fume hood663,105041000,fishersci.com
139,,Axtreonam,Fridge 663,A6848-50MG,sigmaaldrich.com
140,,AZIDE BLOOD AGAR BASE ,Chemical cabinet 663,CM0259,thermofisher.com
141,,Bacto agar,Chemical cabinet 663 and Annie's Bench 607,72717280,bdbiosciences.com
142,,Beef exract powder,Chemical cabinet 663,212303,bdbiosciences.com
143,,Betaine,Chemical drawer 663,204241000,fishersci.com
144,,Bicine,Chemical drawer 663,A14957,alfa.com
145,,Bile bovine,chemical cabinet and fume hood663,B3883-500G,sigmaaldrich.com
146,,Bile bovine and ovine,Chemical cabinet 663,B8381-100G,sigmaaldrich.com
147,,Bile extract porcine,Chemical cabinet 663,B8631-100G,sigmaaldrich.com
148,,Biotin,Chemical drawer and fridge 663,B4501-1G,sigmaaldrich.com
149,,Bis tris,Chemical cabinet 663,B4429-100G,sigmaaldrich.com
150,,Boric acid,Chemical cabinet 663,0084-01,avantornic.com
151,,Brain heart infusion broth,Chemical cabinet and fume hood 663 and Annie's bench 607,211059,bdbiosciences.com
152,,Brilliant Blue (Coomasie),Chemical drawer 663,B-0770,sigmaaldrich.com
153,,Bromocresol Purple,Chemical drawer 663,A19350,alfa.com
154,,Bromophenol Blue Sodium Salt,Chemical drawer 663,15022,mpbio.com
155,,Bromothymol blue,Chemical drawer 663,B0687,tcichemicals.com
156,5-,Bromouracil,Chemical drawer 663,852473-5G,sigmaaldrich.com
157,,Brucella broth,Annie's bench 607,211088,bdbiosciences.com
158,,BRUCELLA MEDIUM BASE 500G,Chemical cabinet 663,CM0169,thermofisher.com
159,N-tert-,Butyldimethylsilyl-N-methyltrifluoroacetamide,Fridge 663,19918,sigmaaldrich.com
160,,Calcein,Chemical cabinet 663,C0815-5G,sigmaaldrich.com
161,,Calcium chloride dihydrate,Chemical cabinet  and fume hood 663,BP510-500,fishersci.com
162,,Calcium nitrate ,Chemical cabinet 663,7270780,bdbiosciences.com
163,,Calcium nitrate tetrahydrate,Chemical cabinet 663,423535000,fishersci.com
164,,Carbenicillin disodium salt,Chemical drawer and fridge 663,C0283-25G,sigmaaldrich.com
165,,Carbonate-bicarbonare buffer,Chemical drawer 663,C3041-50CAP,sigmaaldrich.com
166,,Casamino acids ,Chemical cabinet 663,J851-500G,us.vwr.com
167,,Casein from bovine milk,Chemical cabinet 663,C7070-500G,sigmaaldrich.com
168,,Casitone bacto,Chemical cabinet 663,225930,bdbiosciences.com
169,,Catalase from bovine liver,Side -20 663,C1345-1G,sigmaaldrich.com
170,,Cefaclor,Fridge back and side -20 663,C6895-100MG,sigmaaldrich.com
171,,Cefoperazone sodium salt ,Fridge 663,C4292-5G,sigmaaldrich.com
172,,Ceftriaxone disodium salt hemi(heptahydrate),Fridge 663,C2226,tcichemicals.com
173,D-(+)-,Cellobiose,Chemical cabinet and fume hood 663,C7252-100G,sigmaaldrich.com
174,,Chloramphenicol,Chemical drawer 663,C-0378,sigmaaldrich.com
175,,Chloric acid sodium salt,Chemical drawer 663,229101-50G,emdmillipore.com
176,,Chloroform,607 Fume hood,C298-500,fishersci.com
177,(±)-,Chlorpheninamine maleate,Chemical drawer 663,C3025-5G,sigmaaldrich.com
178,,Cholesterol,Chemical cabinet and Hood 663,F676-05,avantornic.com
179,,Choline chloride,Chemical drawer 663,C7017-25G,sigmaaldrich.com
180,,Ciprofloxacin,Chemical drawer 663,17850-5G-F,sigmaaldrich.com
181,,Citric acid anhydrous,Chemical cabinet 663,BP339-500,fishersci.com
182,,Clindamycin phosphate,Fridge 663,C2257,tcichemicals.com
183,,Clostridien agar,Chemical cabinet 663,V376110,emdmillipore.com
184,,Cobalt(II) chloride hexahydrae,Chemical drawer 663,C8661-25G,sigmaaldrich.com
185,,Colistin Sulfate,Fridge 663,00068,chemimplex.com
186,,Columbia agar MLT,Chemical cabinet 663,R45412,remel.com
187,,Columbia blood agar,Chemical cabinet 663,CM0331,thermofisher.com
188,,Columbia broth,Chemical drawer 663,274420,bdbiosciences.com
189,,Copper (II) chloride,Chemical drawer 663,203149-10G,sigmaaldrich.com
190,,Copper (II) sulfate pentahydrate,Chemical drawer 663,203009A,southernbiotech.com
191,D-(+)-,Cycloserine,Fridge 663,00618,chemimpex.com
192,L-,Cysteine,Chemical drawer 663,C7352-100F,sigmaaldrich.com
193,L-,Cysteine HCl Anhydrous,Chemical drawer 663,C1267-50G,sigmaaldrich.com
194,,Cytarabine,Fridge 663,1162002,sigmaaldrich.com
195,  ,Cytidine,Chemical drawer fridge 663,C4654-1G,sigmaaldrich.com
196,,Cytidine 3'-monophosphate,Side -20 663,C-1133,sigmaaldrich.com
197,,Cytidine 5'-monophosphate,Side -20 663,C131-1G,sigmaaldrich.com
198,,Dantrolene sodium salt,Chemical drawer 663,D9175-100MG,sigmaaldrich.com
199,,Daptomycin,Side -20 663,D2446-1MG,sigmaaldrich.com
200,,Decanal,Fridge 663,D7384-25G,sigmaaldrich.com
201,,Decoyinine,Fridge 663,A-230,biomol.com
202,,Denatonium benzoate,Chemical drawer 663,D5765-5G,sigmaaldrich.com
203,,Deoxycholic acid minimum 99%,Chemical cabinet 663,D2510-100G,sigmaaldrich.com
204,,Deoxyribonuclease,Back freezer 663,DN25-1G,sigmaaldrich.com
205,2 -,Deoxyridine 5 - monophosphate dissodium salt,Back -20 663,D3876-100MG,sigmaaldrich.com
206,,Dextrose anhydrous,Large chemical cabinet and fume hood 663,BP350-1,fishersci.com
207,,Dihdrofolic acid dyhydrate,Back -20 663,271462-25MG,sigmaaldrich.com
208,56-,Dimethylbenzimidazole,Chemical cabinet 663,D147206-25G,sigmaaldrich.com
209,2-4,Dinitrophenyihydrazine,Chemical drawer 663,D199303-25G,sigmaaldrich.com
210,,Dithiothreitol (DTT),Fridge and back -20 663,F780-02,avantornic.com
